policy_id,avg_total_cost,intervention_cost,success_rate,policy,VoI,VoI_per_cost
21,0.4542699999999663,1.3,0.9884,"{'S0': 'intervene', 'S1': 'intervene', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}",11.531830000000035,8.870638461538489
19,0.4687199999999813,1.1,0.9884,"{'S0': 'intervene', 'S1': 'intervene', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}",11.517380000000019,10.470345454545471
20,0.5836200000000566,0.8,0.9855,"{'S0': 'intervene', 'S1': 'intervene', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}",11.402479999999944,14.253099999999929
18,0.6589700000000874,0.6,0.9835,"{'S0': 'intervene', 'S1': 'intervene', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}",11.327129999999913,18.878549999999855
17,0.9247700000001268,1.3,0.9716,"{'S0': 'intervene', 'S1': 'no_intervention', 'S2': 'intervene', 'S3': 'intervene', 'S4': 'no_intervention', 'S5': 'no_intervention'}",11.061329999999874,8.508715384615288
16,1.0328800000001632,0.8,0.9631,"{'S0': 'intervene', 'S1': 'no_intervention', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}",10.953219999999837,13.691524999999794
14,1.04746000000018,1.1,0.9697,"{'S0': 'intervene', 'S1': 'no_intervention', 'S2': 'no_intervention', 'S3': 'intervene', 'S4': 'no_intervention', 'S5': 'no_intervention'}",10.93863999999982,9.944218181818018
13,1.227790000000206,0.6,0.9571,"{'S0': 'intervene', 'S1': 'no_intervention', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}",10.758309999999794,17.930516666666325
15,1.529220000000217,0.3,0.9506,"{'S0': 'intervene', 'S1': 'no_intervention', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}",10.456879999999783,34.856266666665945
12,1.732090000000145,0.1,0.9458,"{'S0': 'intervene', 'S1': 'no_intervention', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}",10.254009999999855,102.54009999999855
11,2.181490000000057,1.2,0.928,"{'S0': 'no_intervention', 'S1': 'intervene', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}",9.804609999999943,8.170508333333286
9,2.24625,1.5,0.9401,"{'S0': 'no_intervention', 'S1': 'intervene', 'S2': 'no_intervention', 'S3': 'intervene', 'S4': 'no_intervention', 'S5': 'no_intervention'}",9.73985,6.493233333333333
8,2.6206,1.0,0.9156,"{'S0': 'no_intervention', 'S1': 'intervene', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}",9.3655,9.3655
10,3.3233700000000748,0.7,0.8986,"{'S0': 'no_intervention', 'S1': 'intervene', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}",8.662729999999925,12.375328571428465
7,3.76415,0.5,0.8873,"{'S0': 'no_intervention', 'S1': 'intervene', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}",8.22195,16.4439
3,4.45675,1.5,0.8397,"{'S0': 'no_intervention', 'S1': 'no_intervention', 'S2': 'no_intervention', 'S3': 'intervene', 'S4': 'intervene', 'S5': 'no_intervention'}",7.52935,5.019566666666667
6,5.438939999999643,1.2,0.8115,"{'S0': 'no_intervention', 'S1': 'no_intervention', 'S2': 'intervene', 'S3': 'intervene', 'S4': 'no_intervention', 'S5': 'no_intervention'}",6.547160000000358,5.455966666666965
5,6.383589999999492,0.7,0.7416,"{'S0': 'no_intervention', 'S1': 'no_intervention', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}",5.602510000000509,8.00358571428644
2,6.7598,1.0,0.7813,"{'S0': 'no_intervention', 'S1': 'no_intervention', 'S2': 'no_intervention', 'S3': 'intervene', 'S4': 'no_intervention', 'S5': 'no_intervention'}",5.2263,5.2263
1,7.7413,0.5,0.7056,"{'S0': 'no_intervention', 'S1': 'no_intervention', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}",4.244800000000001,8.489600000000001
4,9.985019999999077,0.2,0.6532,"{'S0': 'no_intervention', 'S1': 'no_intervention', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}",2.0010800000009237,10.005400000004618
0,11.9861,0.0,0.5982,"{'S0': 'no_intervention', 'S1': 'no_intervention', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}",0.0,0.0
